total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
14400280000.0,1473584000.0,80755000.0,306435000.0,11663566000.0,15173000.0,0.0,77371000.0,6044087000.0,484913000.0,3376312000.0,3401756000.0,35561000.0,3340751000.0,1809639000.0,ADESE,2023,15173000.0,2736714000.0,66127000.0,0.0010536600677209054,0.19004588799662228,1.0,0.874809348093481,94.94423666376086,0.23446155213648623,4.8087979506257446,11.200541457044078,TR,yahoo
21862302000.0,5517621000.0,26459000.0,1708549000.0,12509200000.0,0.0,,245848000.0,5554553000.0,684251000.0,549752000.0,605168000.0,61207000.0,488545000.0,762383000.0,ADESE,2024,0.0,9353102000.0,15173000.0,0.0,0.4278187173519056,,8.067883740855468,8.981848481382848,0.02514611681789045,3.2294192323427655,6.794510103330207,TR,yahoo
23549217000.0,6856785000.0,88318000.0,1813695000.0,12771580000.0,2000.0,,158788000.0,5713511000.0,1268726000.0,1784759000.0,1842704000.0,92332000.0,1692427000.0,157261000.0,ADESE,2025,2000.0,10777637000.0,0.0,8.492851375907743e-08,0.45766434612242096,1.0,92332.0,19.32979898626695,0.07578846464406863,3.7805612299752713,7.1993285016009105,TR,yahoo
,,,,,,,,,,,,,,,ADGYO,2021,,,,,,,,,,,,TR,yahoo
2463617985.0,1454610800.0,155069988.0,87799441.0,2375294670.0,2275577.0,,2275577.0,1551520254.0,1109172221.0,1070764502.0,1070901786.0,67501338.0,1003263164.0,1075578679.0,ADGYO,2022,2275577.0,88323315.0,,0.0009236728315246489,0.03585105951400172,1.0,29.66339438305098,15.862863370204602,0.4346308999688521,16.56742666505132,40.10109481709358,TR,yahoo
6645236519.0,4849091498.0,2753077236.0,37485596.0,6607226889.0,90118.0,,90118.0,2793388250.0,708013383.0,556644211.0,558226903.0,3321842.0,553322369.0,553322369.0,ADGYO,2023,90118.0,38009630.0,2275577.0,1.3561293076978589e-05,0.00571983102351936,1.0,2.8083434255049786,167.57094738401165,0.08376589898771065,129.3587941885731,192.45502414241247,TR,yahoo
10002843606.0,3677873987.0,988256364.0,20030370.0,9405288557.0,0.0,0.0,0.0,4332416912.0,758939408.0,2145585100.0,2148767138.0,556907.0,2145028193.0,1568446310.0,ADGYO,2024,0.0,597555049.0,90118.0,0.0,0.05973851761928667,,12.359506424909563,3852.681147839765,0.21449751535783435,183.6148801544854,25.02885249756943,TR,yahoo
17393641408.0,7018685626.0,843968740.0,711801920.0,14576042603.0,381698416.0,6020309.0,387718725.0,9095486416.0,807299230.0,75248211.0,79374765.0,177788.0,75070423.0,-606436506.0,ADGYO,2025,387718725.0,2817598805.0,0.0,0.022290831224200894,0.16199016289389975,0.9844724832415561,0.0009170978265235965,423.2468501811146,0.004326190774830535,9.860447729615565,12.794303818776616,TR,yahoo
,,,,,,,,,,,,,,,AEFES,2021,,,,,,,,,,,,TR,yahoo
268244570000.0,85826237000.0,39326756000.0,69258939000.0,64532601000.0,19104218000.0,41313826000.0,61908769000.0,41772552000.0,155060052000.0,35284624000.0,43896343000.0,5462601000.0,29822023000.0,15384189000.0,AEFES,2022,60418044000.0,203711969000.0,,0.2252349190143905,0.7594262541828899,0.3162005377069142,0.09041340365139924,6.459308303864771,0.13153900561715004,1.2392080825841123,5.379388522501381,TR,yahoo
