firm,country,ticker,n_obs,beta_rate,beta_fx,r2,beta_rate_z,beta_fx_z
TR_ICUGS,TR,ICUGS,6,0.015982956055194165,0.8186470967952905,0.24246796819799277,0.8698933330014582,1.1793464992465876
TR_IHGZT,TR,IHGZT,6,-0.026079531297456385,0.39518782007208464,0.7385464103516054,-1.794858568771265,0.14727346966906613
TR_IHLAS,TR,IHLAS,10,0.005455745549341405,0.09605275023806145,0.5291421691053468,0.2029711897472452,-0.581791294634786
TR_INDES,TR,INDES,7,0.012156755726715466,-0.15146503081485765,0.7539631042137115,0.6274950526431156,-1.1850521988292901
TR_INGRM,TR,INGRM,7,0.0043166894712531375,0.0328673588453555,0.6358250273872441,0.1308094598698935,-0.7357894283498664
TR_ISBIR,TR,ISBIR,7,0.032179881547735656,1.1960384943548408,0.8461102523540978,1.8960045005903452,2.09914092677633
TR_ISDMR,TR,ISDMR,6,-0.0012039139298900279,0.29775888005783707,0.3103834348188176,-0.2189330146726208,-0.0901845028357093
TR_ISGYO,TR,ISGYO,8,0.0038184904317583187,0.06081565711358689,0.28298191048756305,0.0992474453170022,-0.6676726425081806
TR_ISMEN,TR,ISMEN,10,-0.0025746233051324938,0.11897336381953005,0.09326377211170833,-0.30577049491556924,-0.5259281965776272
TR_IZINV,TR,IZINV,10,-0.00031062952063120886,0.016578958502287463,0.006574061447076285,-0.16234146533224725,-0.7754882131282435
TR_JANTS,TR,JANTS,6,-0.04220470347215109,1.1607528348308045,0.6535180111186876,-2.816424004468748,2.013141210800295
TR_KARSN,TR,KARSN,6,0.019429871238827195,1.3446550919625286,0.8990903730406827,1.0882630578783348,2.461355643916011
TR_KATMR,TR,KATMR,7,-0.011286080492197328,0.2580307402529232,0.21107732401078505,-0.8576606366425269,-0.18701162143190417
TR_KCHOL,TR,KCHOL,6,-0.03640789899536842,0.5681544744136279,0.8373831656442666,-2.449183578951262,0.5688351847495231
TR_KLGYO,TR,KLGYO,9,-0.01889732855372196,1.0728952823458198,0.5175374956014821,-1.3398500891294267,1.7990110326492699
TR_KLMSN,TR,KLMSN,11,-0.002224605048418884,-0.09887132954432909,0.017771452862361925,-0.2835960617344562,-1.056868584511047
TR_KNFRT,TR,KNFRT,7,-0.01724724205040619,-0.49516287037429785,0.04454997988457121,-1.2353134479428203,-2.022727248194719
TR_KORDS,TR,KORDS,11,0.0025323510434687568,0.3393992871610167,0.34795919334681,0.01776766139087519,0.011303275267475738
TR_KRDMA,TR,KRDMA,11,0.02352017566278746,0.11245486559408596,0.7302116194379842,1.34739291867794,-0.5418153587715665
TR_KRDMB,TR,KRDMB,11,0.023520175472701625,0.11245486501670227,0.7302116135888436,1.3473929066355805,-0.5418153601787907
TR_KRDMD,TR,KRDMD,11,0.023520175731970003,0.11245485543712691,0.7302116313896507,1.3473929230608077,-0.5418153835265408
TR_KRONT,TR,KRONT,10,0.019926090162624574,0.5765890649114427,0.3993629925617923,1.1196996277083249,0.5893923288406552
TR_KRSTL,TR,KRSTL,9,-0.004827239940301615,-0.022474164078941296,0.31430556761254236,-0.4484787568451513,-0.870670150925811
TR_KRTEK,TR,KRTEK,11,0.010841489845038821,0.4657601219022855,0.2691204610532981,0.5441700407352366,0.31927529689970147
TR_KUYAS,TR,KUYAS,10,0.006334119347145243,-0.06389871917944433,0.3363288339247349,0.25861811876837476,-0.9716318453118871
TR_LKMNH,TR,LKMNH,11,-0.006073922346417923,0.3092611116571458,0.23930282694924065,-0.5274588534036989,-0.06215077287361792
TR_LOGO,TR,LOGO,10,0.0017100742252671019,0.018591723494971134,0.017633897185374448,-0.0343253995048307,-0.7705826163494901
TR_LRSHO,TR,LRSHO,7,0.013273789081598885,0.18586469201302686,0.36911697075918926,0.6982615941415604,-0.3628977954600898
TR_LYDHO,TR,LYDHO,6,0.00029177249493164014,0.09308020944571113,0.007226530831676348,-0.12417796104053853,-0.5890360979718235
TR_MAKTK,TR,MAKTK,7,0.0005827600347223636,0.23883801322213902,0.05428850571154409,-0.10574325475347358,-0.23378895521898174
TR_MARTI,TR,MARTI,11,0.002152341611762568,0.3557993155916894,0.400933486103914,-0.0063067792702481895,0.051274124787122906
TR_MAVI,TR,MAVI,8,0.004051593750119687,0.24832125773270122,0.17378550844951912,0.11401505774337115,-0.21067598679383168
TR_MEGAP,TR,MEGAP,8,0.010880843251149573,1.1295928851538943,0.33352864410469374,0.5466631663294426,1.9371968510182025
TR_MERKO,TR,MERKO,10,0.03065920029287751,0.7135780164127765,0.7712360470644615,1.7996659690170804,0.9232676504268782
TR_METRO,TR,METRO,9,0.012225236156371161,0.06361099324700288,0.29369620541959907,0.6318334398057504,-0.6608597299319663
TR_MGROS,TR,MGROS,10,0.003481622323901494,0.2140541897668621,0.13020242122661962,0.07790610324343397,-0.29419314793364887
TR_MNDRS,TR,MNDRS,11,0.02271351886269073,0.63147183688366,0.5373190085835,1.296289420586779,0.723154964009003
TR_MNDTR,TR,MNDTR,11,-0.008853810667583078,0.9242917875241518,0.552927095619461,-0.7035709465482294,1.436828250179123
