total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
,,,,,,,,,,,,,,,ASM,2021,,,,,,,,,,,,VN,yahoo
19086345264791.0,9248626567434.0,847857871091.0,7597608876479.0,5220168092800.0,6127409896494.0,3409124741970.0,9820393882027.0,1314266286158.0,13749221971690.0,1534564061494.0,1947396530126.0,472579930979.0,1061984130515.0,628390227095.0,ASM,2022,9536534638464.0,13866177171991.0,,0.499652212414718,0.7264972408086027,0.6425195449697344,0.049554680908191616,3.2472053104645937,0.08040114753267322,1.2173075394899955,4.977523875988363,VN,yahoo
20307453158579.0,11090130251092.0,1365023440747.0,8203972540991.0,5234427637334.0,6473012996825.0,4117434060025.0,10781758702353.0,1312074954584.0,11973153752107.0,1061022024065.0,1511607551119.0,741880599909.0,319141424156.0,195034280361.0,ASM,2023,10590447056850.0,15073025521245.0,9536534638464.0,0.5215054282853783,0.7422410581741175,0.6112124409930546,0.07372000542751286,1.4301789589795801,0.05224791192571409,1.3518000207436538,5.108698376071178,VN,yahoo
22856055629167.0,13566530226970.0,2070302439363.0,7830527770434.0,5428557355166.0,6692847697361.0,6871065492526.0,13675896526191.0,897775219344.0,12013117890000.0,978233326893.0,1416682062114.0,661139329878.0,317093997015.0,180853915747.0,ASM,2024,13563913189887.0,17427498274001.0,10590447056850.0,0.5934494302060527,0.7624893182252092,0.49343044324045526,0.054742855792863566,1.4796175067568789,0.042799743873770585,1.7325179891697244,5.639045045752494,VN,yahoo
23476527657525.0,14126202427153.0,711806081865.0,8851860250732.0,5471060735560.0,7131470245583.0,6381407037123.0,13558685363246.0,566521292519.0,11317468565654.0,898500361417.0,1377956974551.0,694110889582.0,204389471835.0,37712105942.0,ASM,2025,13512877282706.0,18005466921965.0,13563913189887.0,0.5755909681291679,0.7669561352781085,0.5277536453846119,0.05126980542871769,1.2944622752685602,0.0382722851745497,1.595845621939732,5.3787054753825085,VN,yahoo
,,,,,,,,,,,,,,,BAF,2021,,,,,,,,,,,,VN,yahoo
4729096092916.0,2662699738155.0,151374475776.0,2291719028034.0,1733855201455.0,264400597034.0,692905367577.0,957305964611.0,298655201455.0,7083418349258.0,375208936634.0,434019086141.0,36331151929.0,338877784705.0,286687393478.0,BAF,2022,957305964611.0,2995240891461.0,,0.20242895170707287,0.6333643539085098,0.27619236357880506,0.03795145258889421,10.327471514452679,0.07934051862385462,1.1618787929859158,5.111468221659425,VN,yahoo
6533660695830.0,3148011679041.0,95165075409.0,3011074968540.0,1897715154565.0,703663315465.0,1608567727225.0,2312231042690.0,324866540588.0,5198785295390.0,165962786408.0,270591331973.0,141443303310.0,24519483098.0,26375283530.0,BAF,2023,2312231042690.0,4635945541265.0,957305964611.0,0.3538951822468747,0.7095479482465037,0.3043222335802452,0.08652191609646977,1.1733520253289114,0.02540119454227597,1.0454776822004526,4.150093852955228,VN,yahoo
7449030044505.0,3081018989584.0,148911935224.0,3064578385158.0,2926123523314.0,1134359863217.0,1427710733184.0,2579258802398.0,398258489337.0,5640685734268.0,607033638997.0,772237761918.0,200784626774.0,406249012223.0,317047520186.0,BAF,2024,2562070596401.0,4522906521191.0,2312231042690.0,0.34394687376660377,0.607180598570341,0.4427512125584914,0.0823849821536461,3.0233073554992207,0.0814916352021961,1.0053647198275701,4.665700692065569,VN,yahoo
10780028795300.0,4341827253256.0,365021213113.0,4331765436897.0,4059664069370.0,2151651737308.0,2200680479557.0,4477508871946.0,525179035393.0,5037851279304.0,357670806791.0,608934955662.0,257832397308.0,99838409483.0,126621177023.0,BAF,2025,4352332216865.0,6720364725930.0,2562070596401.0,0.40374031456785897,0.6234087917149184,0.49436753218664964,0.0745783560116925,1.3872221277287182,0.03317902146485373,1.0023227980613392,4.2721940054998715,VN,yahoo
