total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
27248000000.0,5804000000.0,1100000000.0,9403000000.0,10981000000.0,3146000000.0,3496000000.0,7459000000.0,3706000000.0,20444000000.0,1521000000.0,2655000000.0,344000000.0,1177000000.0,967000000.0,ENG,2022
,,,,,,,,,,,,,,,ENG,2021
35269100000.0,8528300000.0,3183200000.0,6018900000.0,13489000000.0,1593500000.0,12912600000.0,15216700000.0,6454700000.0,14323600000.0,-1409800000.0,3545500000.0,1028300000.0,-2438100000.0,-2551400000.0,CPS,2025
37468000000.0,9026900000.0,2653000000.0,5693300000.0,16123100000.0,1682000000.0,12813500000.0,15180200000.0,8987400000.0,14265900000.0,2203300000.0,4394400000.0,1123800000.0,1079500000.0,710500000.0,CPS,2024
37176700000.0,9027500000.0,3306000000.0,5516600000.0,15431800000.0,1463400000.0,13489700000.0,15563900000.0,8334100000.0,13626300000.0,1621400000.0,4201500000.0,1199600000.0,421800000.0,278500000.0,CPS,2023
32306600000.0,6531300000.0,808500000.0,6315400000.0,15270300000.0,1688600000.0,8525200000.0,10738000000.0,8057600000.0,12915300000.0,1867800000.0,4365400000.0,757500000.0,1110300000.0,900000000.0,CPS,2022
,,,,,,,,,,,,,,,CPS,2021
7051980000.0,1199791000.0,597946000.0,1584737000.0,2358886000.0,94998000.0,1297920000.0,3242853000.0,1467020000.0,4522683000.0,917733000.0,1457779000.0,191373000.0,726360000.0,570850000.0,BFT,2025
3419940000.0,662966000.0,309498000.0,1015238000.0,1154725000.0,38989000.0,117777000.0,1450115000.0,847177000.0,3397270000.0,651677000.0,1004678000.0,51355000.0,600322000.0,449630000.0,BFT,2024
2800423000.0,701784000.0,434004000.0,812246000.0,996758000.0,18663000.0,41866000.0,1123006000.0,708645000.0,2774145000.0,589337000.0,876811000.0,35928000.0,553409000.0,439645000.0,BFT,2023
2234021000.0,466311000.0,218327000.0,611646000.0,727033000.0,24140000.0,60566000.0,1039301000.0,443082000.0,1909120000.0,203236000.0,435312000.0,26664000.0,176572000.0,138124000.0,BFT,2022
,,,,,,,,,,,,,,,BFT,2021
1499808000.0,1372656000.0,257612000.0,1115111000.0,339272000.0,238465000.0,13683000.0,290112000.0,313386000.0,3862999000.0,102405000.0,112233000.0,25704000.0,76701000.0,60639000.0,ASB,2025
1200811000.0,1112656000.0,155034000.0,875278000.0,298198000.0,219058000.0,12573000.0,248465000.0,280486000.0,3008503000.0,88841000.0,97454000.0,23829000.0,65012000.0,54441000.0,ASB,2024
1012478000.0,931214000.0,143560000.0,715549000.0,280768000.0,193814000.0,436000.0,211656000.0,253790000.0,3061228000.0,93053000.0,100780000.0,28084000.0,64969000.0,53048000.0,ASB,2023
1063526000.0,1003920000.0,134598000.0,809184000.0,243471000.0,202903000.0,553000.0,214479000.0,225816000.0,2690039000.0,110937000.0,116724000.0,19891000.0,91046000.0,75867000.0,ASB,2022
,,,,,,,,,,,,,,,ASB,2021
39886329000.0,15262871000.0,4088410000.0,11172788000.0,16767196000.0,991527000.0,5826746000.0,7616171000.0,12763368000.0,27539506000.0,2868519000.0,4273993000.0,456512000.0,2412007000.0,1816255000.0,ENA,2025
39467853000.0,19128497000.0,3630568000.0,12573416000.0,15309592000.0,755981000.0,6094390000.0,7577968000.0,11276846000.0,31235008000.0,2943813000.0,4452321000.0,547631000.0,2396182000.0,1395787000.0,ENA,2024
39110745000.0,17473767000.0,1789847000.0,14968058000.0,13938930000.0,3090033000.0,4288396000.0,8073361000.0,9858705000.0,44020952000.0,19277000.0,1671197000.0,527326000.0,-508049000.0,-704308000.0,ENA,2023
37434972000.0,14273352000.0,1052176000.0,13589068000.0,14874670000.0,750273000.0,4087307000.0,5494038000.0,10663950000.0,30076258000.0,587583000.0,2172574000.0,312197000.0,275386000.0,45304000.0,ENA,2022
,,,,,,,,,,,,,,,ENA,2021
11025500000.0,5016600000.0,435800000.0,5471200000.0,2155700000.0,559400000.0,1485100000.0,4506200000.0,-1053100000.0,10895700000.0,332000000.0,1090700000.0,289100000.0,42900000.0,21800000.0,MDV,2026
8998000000.0,4645600000.0,461200000.0,4064500000.0,1749100000.0,324700000.0,1572000000.0,3888600000.0,104700000.0,10234700000.0,1301500000.0,1904500000.0,429200000.0,872300000.0,925100000.0,MDV,2025
