total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,retained_earnings
15511789000.0,2406411000.0,642082000.0,1673202000.0,8048229000.0,707778000.0,5405391000.0,6192523000.0,7878006000.0,2035425000.0,2836430000.0,362419000.0,1673006000.0,1316920000.0,CSMG3,2024,
14189863000.0,2543503000.0,1031425000.0,2011670000.0,7573825000.0,681656000.0,4061858000.0,4835792000.0,7404379000.0,1793409000.0,2582979000.0,7137000.0,1786272000.0,1379346000.0,CSMG3,2023,
13189607000.0,2449939000.0,1122299000.0,1937386000.0,7254514000.0,940871000.0,3199049000.0,4245836000.0,6176855000.0,1223824000.0,1953957000.0,326761000.0,1045954000.0,843362000.0,CSMG3,2022,
,,,,,,,,,,,,,,CSMG3,2021,
141988425000.0,54394393000.0,4711133000.0,50453066000.0,11319023000.0,14855314000.0,55069720000.0,75838258000.0,163962737000.0,5849868000.0,13082507000.0,6595879000.0,-746011000.0,358228000.0,MBRF3,2025,
137510139000.0,54934666000.0,4516687000.0,42965775000.0,2824144000.0,8573504000.0,52809936000.0,66279640000.0,149135143000.0,6015466000.0,13212970000.0,5687147000.0,328319000.0,2795401000.0,MBRF3,2024,
130954636000.0,52100800000.0,6460212000.0,42170873000.0,7631324000.0,7706111000.0,44139417000.0,56084089000.0,132218010000.0,857391000.0,7597623000.0,5398619000.0,-4541228000.0,-1517776000.0,MBRF3,2023,
136104323000.0,50598078000.0,6403788000.0,40420580000.0,5569860000.0,13630185000.0,48477267000.0,65710550000.0,125371360000.0,6371072000.0,11703765000.0,3379240000.0,2991832000.0,4165827000.0,MBRF3,2022,
,,,,,,,,,,,,,,MBRF3,2021,
47201372000.0,7087439000.0,1356062000.0,1886771000.0,21151467000.0,586083000.0,15365630000.0,16007349000.0,9411153000.0,4100140000.0,4134832000.0,1319831000.0,2780309000.0,2447899000.0,ISAE3,2025,
43304632000.0,7939449000.0,2914747000.0,3264818000.0,19714581000.0,1191970000.0,12044325000.0,13273804000.0,7966581000.0,5046383000.0,5083740000.0,877722000.0,4168661000.0,3498416000.0,ISAE3,2024,
