total_assets,current_assets,cash,current_liabilities,equity,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,st_debt,lt_debt
15365000000.0,8262000000.0,1533000000.0,6132000000.0,4051000000.0,6896000000.0,2350000000.0,,677000000.0,1366000000.0,229000000.0,448000000.0,300000000.0,PAZ,2022,1577000000.0,3683000000.0
,,,,,,,7731000000.0,,,,,,PAZ,2021,,
6476981000.0,1122232000.0,612600000.0,858393000.0,1861218000.0,4325365000.0,-79940000.0,311299000.0,191192000.0,319025000.0,165290000.0,25902000.0,90130000.0,NOFR,2025,699319000.0,3364265000.0
6227754000.0,701405000.0,362634000.0,476690000.0,1628333000.0,3415278000.0,-174634000.0,313207000.0,36581000.0,133547000.0,102097000.0,-65516000.0,-26905000.0,NOFR,2024,303391000.0,2744575000.0
5668267000.0,1005699000.0,661388000.0,350050000.0,1822007000.0,2530383000.0,-153354000.0,320779000.0,-19169000.0,61057000.0,109181000.0,-128350000.0,-88661000.0,NOFR,2023,196767000.0,2022270000.0
4597703000.0,1099193000.0,237865000.0,739586000.0,1618014000.0,1591565000.0,-68533000.0,324568000.0,201912000.0,216608000.0,48621000.0,153291000.0,153746000.0,NOFR,2022,452060000.0,931287000.0
,,,,,,,,,,,,,NOFR,2021,,
4606771000.0,2972397000.0,902938000.0,2683376000.0,1136467000.0,1122365000.0,800723000.0,6238940000.0,500165000.0,699266000.0,62718000.0,437447000.0,307281000.0,MTRX,2025,458989000.0,294041000.0
4479636000.0,2872386000.0,668495000.0,2652668000.0,1088733000.0,1157888000.0,708634000.0,5579538000.0,440315000.0,627126000.0,57113000.0,383202000.0,272422000.0,MTRX,2024,469981000.0,315098000.0
4035232000.0,2618322000.0,640208000.0,2240366000.0,1048587000.0,1171986000.0,665981000.0,5232105000.0,394556000.0,598175000.0,69370000.0,325186000.0,227333000.0,MTRX,2023,487774000.0,468456000.0
4002776000.0,2579491000.0,839313000.0,2125802000.0,916409000.0,1402768000.0,561777000.0,4672689000.0,492580000.0,654805000.0,37814000.0,454766000.0,334669000.0,MTRX,2022,521287000.0,699873000.0
,,,,,,,,,,,,,MTRX,2021,,
13477000000.0,,1338000000.0,8427000000.0,1826000000.0,5403000000.0,1839000000.0,13953000000.0,481000000.0,939000000.0,194000000.0,287000000.0,168000000.0,ELTR,2025,2970000000.0,1790000000.0
12145000000.0,,1191000000.0,6567000000.0,1806000000.0,4847000000.0,1765000000.0,12326000000.0,511000000.0,931000000.0,152000000.0,359000000.0,224000000.0,ELTR,2024,1890000000.0,2494000000.0
11159000000.0,7136000000.0,711000000.0,6501000000.0,1627000000.0,4151000000.0,1624000000.0,11615000000.0,471000000.0,881000000.0,126000000.0,345000000.0,213000000.0,ELTR,2023,1831000000.0,1866000000.0
10525325000.0,,680336000.0,6179416000.0,1539016000.0,3816351000.0,1496038000.0,10852000000.0,582000000.0,975000000.0,99000000.0,483000000.0,306000000.0,ELTR,2022,1794152000.0,1617468000.0
,5009380000.0,,,,,,,,,,,,ELTR,2021,,
5265149000.0,575476000.0,115478000.0,884170000.0,2711601000.0,1629916000.0,1897197000.0,2176346000.0,398304000.0,609729000.0,73147000.0,325157000.0,254547000.0,ISRO,2025,227972000.0,290738000.0
4809449000.0,710259000.0,92175000.0,863340000.0,2506362000.0,1403307000.0,1701819000.0,1915415000.0,432679000.0,617086000.0,54969000.0,377710000.0,303659000.0,ISRO,2024,231903000.0,340604000.0
4233024000.0,695830000.0,127491000.0,607288000.0,2218018000.0,1271042000.0,1398075000.0,1796338000.0,358294000.0,527798000.0,52198000.0,306096000.0,233421000.0,ISRO,2023,142496000.0,329574000.0
4073532000.0,731279000.0,255852000.0,688339000.0,2025908000.0,1237063000.0,1214430000.0,1872021000.0,363920000.0,515627000.0,46670000.0,317250000.0,252790000.0,ISRO,2022,148597000.0,301276000.0
,,,,,,,,,,,,,ISRO,2021,,
9823612000.0,3158204000.0,701073000.0,2792507000.0,2748570000.0,5019487000.0,1370214000.0,2899274000.0,421714000.0,483895000.0,162631000.0,259083000.0,201537000.0,TDHR,2025,1174065000.0,3803523000.0
6897181000.0,2568451000.0,706892000.0,2400963000.0,2080313000.0,2936313000.0,1284938000.0,2688372000.0,434790000.0,490902000.0,180801000.0,253989000.0,180228000.0,TDHR,2024,872137000.0,1998035000.0
,,,,,,,2443319000.0,246157000.0,299581000.0,152325000.0,93832000.0,63519000.0,TDHR,2023,,
4643844000.0,593937000.0,508264000.0,403571000.0,2240785000.0,1955192000.0,-230257000.0,132947000.0,36487000.0,105068000.0,83983000.0,-47496000.0,-86813000.0,MSKE,2025,317310000.0,1414294000.0
